gene_names	ID	CpG_logFC	Gene_logFC	Gene_P.value	AveExpr	Gene_log2_P.value
AC093267.1	5_122111880	"NA"	0	1	0	-0
AC093602.1	4_139935712	"NA"	0	1	0	-0
AC093620.5	7_5441213	"NA"	0	1	0	-0
AC093700.1	4_159919519	"NA"	0	1	0	-0
AC093818.1	2_173417221	"NA"	0	1	0	-0
AC096649.1	2_176038152	"NA"	0	1	0	-0
AC096649.2	2_176031379	"NA"	0	1	0	-0
AC096649.4	2_176193018	"NA"	0	1	0	-0
AC097468.4	2_219862933	"NA"	0	1	0	-0
AC097468.7	2_219822117	"NA"	0	1	0	-0
AC097658.1	4_144253937	"NA"	0	1	0	-0
AC098617.1	2_192705523	DOWN	0	1	0	-0
AC098872.3	2_192653057	"NA"	0	1	0	-0
AC099552.4	7_154986672	"NA"	0	1	0	-0
AC100791.2	17_77782841	"NA"	0	1	0	-0
AC102953.6	7_1542034	"NA"	0	1	0	-0
AC103809.1	17_72302411	DOWN	0	1	0	-0
AC103809.2	17_72345887	"NA"	0	1	0	-0
AC104134.2	2_88836095	"NA"	0	1	0	-0
AC104695.3	2_28614158	"NA"	0	1	0	-0
AC104695.4	2_28666022	"NA"	0	1	0	-0
AC104801.1	2_172966044	"NA"	0	1	0	-0
AC105402.1	2_149637499	"NA"	0	1	0	-0
AC105402.4	2_149637499	"NA"	0	1	0	-0
AC107993.1	17_40543687	"NA"	0	1	0	-0
AC108004.3	17_256417	"NA"	0	1	0	-0
AC108004.3	17_262444	"NA"	0	1	0	-0
AC108456.1	11_31456822	"NA"	0	1	0	-0
AC110781.3	7_1881075	DOWN	0	1	0	-0
AC112219.1	3_72310003	"NA"	0	1	0	-0
AC113189.5	17_7486966	"NA"	0	1	0	-0
AC113189.5	17_7477838	"NA"	0	1	0	-0
AC114803.3	2_220160298	"NA"	0	1	0	-0
AC115617.2	X_48635171	"NA"	0	1	0	-0
AC116366.5	5_131758776	"NA"	0	1	0	-0
AC116366.6	5_131802698	"NA"	0	1	0	-0
AC124057.5	11_2421130	"NA"	0	1	0	-0
AC124853.1	19_48397784	"NA"	0	1	0	-0
AC127496.1	17_78971085	"NA"	0	1	0	-0
AC130462.1	16_68089122	"NA"	0	1	0	-0
AC131971.1	11_3000649	"NA"	0	1	0	-0
AC132186.1	16_66519353	"NA"	0	1	0	-0
AC135178.1	17_8257967	DOWN	0	1	0	-0
AC136932.1	16_33960920	"NA"	0	1	0	-0
AC139149.1	17_79477581	"NA"	0	1	0	-0
AC142528.1	2_3517384	"NA"	0	1	0	-0
AC226150.4	12_133786908	"NA"	0	1	0	-0
ACADVL	17_7125388	"NA"	0.033991034421577915	0.8814069790939576	55.2336276815407	0.18211977478168007
ACADVL	17_7114907	"NA"	0.033991034421577915	0.8814069790939576	55.2336276815407	0.18211977478168007
