"logFC","AveExpr","P.Value","hgnc_symbol"
2.82894223259788,-0.833226977238186,0.016490711412536,"ADCY2"
4.39442843843491,3.09061702770401,0.0010676456640688,"HOXA9"
-1.50595097291811,2.12323914507341,0.0270115593829268,"P2RY10"
-3.8844636424582,6.052471294125,0.00328582460471108,"ITM2A"
2.78803444490124,4.41293000083687,1.71570220117191e-06,"TP53INP2"
1.56898023685083,1.30707201325828,0.0240276427620384,"TP73"
2.08452247933346,-1.09839092907466,0.00582306511953926,"OSBPL6"
2.75681485344787,3.71222263299955,2.46296562434524e-06,"SLC1A3"
-1.87241553625771,3.31311910171578,0.0157020813695177,"CEACAM1"
2.18893440651599,-4.42668247932117,0.0422160742446971,"KCNN2"
-1.77216891858025,-3.61904102935742,0.00472497247343918,"CDH7"
3.45694679932709,1.31173294079694,2.14268124706095e-05,"EPB41L3"
-2.14786393421145,4.10496715515166,0.0476695989716671,"COBLL1"
-2.01282412508872,5.9145199965321,0.00066605882957077,"TRAF5"
-2.39381143845241,-2.55854314756885,0.00122773381787956,"GRHL2"
2.17109967945484,5.01856715845156,0.000117261807469551,"HAL"
-2.95860941954541,3.20136442109482,0.0128992901604607,"ABCB1"
-2.45976547889817,-1.78000956137397,0.00351777927075554,"AQP6"
-3.42240080005606,-2.86667626927129,3.69225003659682e-06,"FOLH1"
1.93067734762083,2.24968686953227,1.22329543310601e-05,"FAT2"
3.83970187800125,1.98097248694929,0.000836449199682755,"ADAMTS2"
-1.77524788005118,1.26299728396966,0.0190089056364806,"CETP"
-1.50646550767233,-0.0858381060321932,0.0204696683874505,"GNAO1"
4.24856111653296,-1.19960387808756,8.87966863830154e-05,"PHACTR3"
-2.32057854973865,1.13466429098441,0.0234929865451381,"LAG3"
2.18394136423273,10.2579262744037,0.00600776497972739,"LYZ"
-2.38807828177079,3.74020728381559,0.0100297922570729,"CERS4"
-1.92280103265719,3.27152007462715,0.0037024213154463,"EFNB1"
-2.145034928588,6.59185274227375,0.000525867409349037,"ITGA6"
-1.84337419586268,0.112459049339332,0.0110223288493014,"RAPGEF4"
-5.44327687802341,4.26019332871275,0.00240326490405716,"CD200"
